,date,temperature_2m_min
469,1951-04-15 00:00:00+00:00,3.8015766
470,1951-04-16 00:00:00+00:00,4.7502556
471,1951-04-17 00:00:00+00:00,2.0489342
472,1951-04-18 00:00:00+00:00,3.6976125
473,1951-04-19 00:00:00+00:00,10.346292
474,1951-04-20 00:00:00+00:00,8.64497
475,1951-04-21 00:00:00+00:00,7.143649
476,1951-04-22 00:00:00+00:00,7.9923277
477,1951-04-23 00:00:00+00:00,11.941007
478,1951-04-24 00:00:00+00:00,9.589686
479,1951-04-25 00:00:00+00:00,4.938364
480,1951-04-26 00:00:00+00:00,3.137043
481,1951-04-27 00:00:00+00:00,7.135721
482,1951-04-28 00:00:00+00:00,11.5344
483,1951-04-29 00:00:00+00:00,8.983079
484,1951-04-30 00:00:00+00:00,7.481758
485,1951-05-01 00:00:00+00:00,8.280437
486,1951-05-02 00:00:00+00:00,9.079115
487,1951-05-03 00:00:00+00:00,8.077795
488,1951-05-04 00:00:00+00:00,6.414838
489,1951-05-05 00:00:00+00:00,7.4018803
490,1951-05-06 00:00:00+00:00,7.6389217
491,1951-05-07 00:00:00+00:00,8.4759655
492,1951-05-08 00:00:00+00:00,10.413007
493,1951-05-09 00:00:00+00:00,10.70005
494,1951-05-10 00:00:00+00:00,9.687093
495,1951-05-11 00:00:00+00:00,8.624134
496,1951-05-12 00:00:00+00:00,9.761178
497,1951-05-13 00:00:00+00:00,10.14822
498,1951-05-14 00:00:00+00:00,10.635263
499,1951-05-15 00:00:00+00:00,10.872306
500,1951-05-16 00:00:00+00:00,11.309348
501,1951-05-17 00:00:00+00:00,11.146391
502,1951-05-18 00:00:00+00:00,12.533433
503,1951-05-19 00:00:00+00:00,12.770475
504,1951-05-20 00:00:00+00:00,11.307519
505,1951-05-21 00:00:00+00:00,12.394562
506,1951-05-22 00:00:00+00:00,11.631604
507,1951-05-23 00:00:00+00:00,9.868646
508,1951-05-24 00:00:00+00:00,10.705689
509,1951-05-25 00:00:00+00:00,9.592732
510,1951-05-26 00:00:00+00:00,8.079774
511,1951-05-27 00:00:00+00:00,9.316816
512,1951-05-28 00:00:00+00:00,8.453859
513,1951-05-29 00:00:00+00:00,9.290902
514,1951-05-30 00:00:00+00:00,11.127945
515,1951-05-31 00:00:00+00:00,11.964987
516,1951-06-01 00:00:00+00:00,11.65203
517,1951-06-02 00:00:00+00:00,10.689073
518,1951-06-03 00:00:00+00:00,11.826114
519,1951-06-04 00:00:00+00:00,14.513157
520,1951-06-05 00:00:00+00:00,15.7002
521,1951-06-06 00:00:00+00:00,15.037243
522,1951-06-07 00:00:00+00:00,13.0742855
523,1951-06-08 00:00:00+00:00,14.261327
524,1951-06-09 00:00:00+00:00,15.698371
525,1951-06-10 00:00:00+00:00,16.785412
526,1951-06-11 00:00:00+00:00,14.972456
527,1951-06-12 00:00:00+00:00,16.309498
528,1951-06-13 00:00:00+00:00,16.99654
529,1951-06-14 00:00:00+00:00,17.633583
530,1951-06-15 00:00:00+00:00,17.770626
531,1951-06-16 00:00:00+00:00,18.107666
532,1951-06-17 00:00:00+00:00,17.744709
533,1951-06-18 00:00:00+00:00,15.881753
534,1951-06-19 00:00:00+00:00,15.868796
535,1951-06-20 00:00:00+00:00,17.255838
536,1951-06-21 00:00:00+00:00,17.84288
537,1951-06-22 00:00:00+00:00,18.179924
538,1951-06-23 00:00:00+00:00,17.566965
539,1951-06-24 00:00:00+00:00,17.45401
540,1951-06-25 00:00:00+00:00,18.691051
541,1951-06-26 00:00:00+00:00,19.728092
542,1951-06-27 00:00:00+00:00,17.215136
543,1951-06-28 00:00:00+00:00,16.302177
544,1951-06-29 00:00:00+00:00,18.389221
545,1951-06-30 00:00:00+00:00,19.876263
546,1951-07-01 00:00:00+00:00,17.563305
547,1951-07-02 00:00:00+00:00,19.85035
548,1951-07-03 00:00:00+00:00,18.389578
549,1951-07-04 00:00:00+00:00,17.244104
550,1951-07-05 00:00:00+00:00,15.348633
551,1951-07-06 00:00:00+00:00,15.65316
552,1951-07-07 00:00:00+00:00,17.707687
553,1951-07-08 00:00:00+00:00,21.512215
554,1951-07-09 00:00:00+00:00,23.066742
555,1951-07-10 00:00:00+00:00,20.721272
556,1951-07-11 00:00:00+00:00,18.475796
557,1951-07-12 00:00:00+00:00,17.980326
558,1951-07-13 00:00:00+00:00,17.634851
559,1951-07-14 00:00:00+00:00,20.53938
560,1951-07-15 00:00:00+00:00,20.193907
561,1951-07-16 00:00:00+00:00,20.798435
562,1951-07-17 00:00:00+00:00,20.152964
563,1951-07-18 00:00:00+00:00,20.807491
564,1951-07-19 00:00:00+00:00,19.962017
565,1951-07-20 00:00:00+00:00,20.216545
566,1951-07-21 00:00:00+00:00,21.521074
567,1951-07-22 00:00:00+00:00,19.725601
