,date,soil_moisture_0_to_10cm_mean
270,1950-09-28 00:00:00+00:00,0.15507546
271,1950-09-29 00:00:00+00:00,0.15575609
272,1950-09-30 00:00:00+00:00,0.15643671
273,1950-10-01 00:00:00+00:00,0.15711734
274,1950-10-02 00:00:00+00:00,0.15779796
275,1950-10-03 00:00:00+00:00,0.15847859
276,1950-10-04 00:00:00+00:00,0.15915921
277,1950-10-05 00:00:00+00:00,0.17083985
278,1950-10-06 00:00:00+00:00,0.1825205
279,1950-10-07 00:00:00+00:00,0.1812011
280,1950-10-08 00:00:00+00:00,0.18188174
281,1950-10-09 00:00:00+00:00,0.17856236
282,1950-10-10 00:00:00+00:00,0.17624302
283,1950-10-11 00:00:00+00:00,0.17492363
284,1950-10-12 00:00:00+00:00,0.17560427
285,1950-10-13 00:00:00+00:00,0.17528489
286,1950-10-14 00:00:00+00:00,0.17496552
287,1950-10-15 00:00:00+00:00,0.17464614
288,1950-10-16 00:00:00+00:00,0.18232678
289,1950-10-17 00:00:00+00:00,0.1910074
290,1950-10-18 00:00:00+00:00,0.18868804
291,1950-10-19 00:00:00+00:00,0.19736867
292,1950-10-20 00:00:00+00:00,0.20004927
293,1950-10-21 00:00:00+00:00,0.19872993
294,1950-10-22 00:00:00+00:00,0.20041056
295,1950-10-23 00:00:00+00:00,0.20409119
296,1950-10-24 00:00:00+00:00,0.20377181
297,1950-10-25 00:00:00+00:00,0.20145245
298,1950-10-26 00:00:00+00:00,0.1981331
299,1950-10-27 00:00:00+00:00,0.1958137
300,1950-10-28 00:00:00+00:00,0.19449434
301,1950-10-29 00:00:00+00:00,0.22217496
302,1950-10-30 00:00:00+00:00,0.2878556
303,1950-10-31 00:00:00+00:00,0.28753623
304,1950-11-01 00:00:00+00:00,0.2742169
305,1950-11-02 00:00:00+00:00,0.2623375
306,1950-11-03 00:00:00+00:00,0.25212216
307,1950-11-04 00:00:00+00:00,0.24490681
308,1950-11-05 00:00:00+00:00,0.23769146
309,1950-11-06 00:00:00+00:00,0.23347612
310,1950-11-07 00:00:00+00:00,0.23126079
311,1950-11-08 00:00:00+00:00,0.22804543
312,1950-11-09 00:00:00+00:00,0.22383007
313,1950-11-10 00:00:00+00:00,0.22061476
314,1950-11-11 00:00:00+00:00,0.2163994
315,1950-11-12 00:00:00+00:00,0.21318406
316,1950-11-13 00:00:00+00:00,0.2099687
317,1950-11-14 00:00:00+00:00,0.20775338
318,1950-11-15 00:00:00+00:00,0.20553802
319,1950-11-16 00:00:00+00:00,0.20432268
320,1950-11-17 00:00:00+00:00,0.20210735
321,1950-11-18 00:00:00+00:00,0.200892
322,1950-11-19 00:00:00+00:00,0.19867665
323,1950-11-20 00:00:00+00:00,0.19746129
324,1950-11-21 00:00:00+00:00,0.19624595
325,1950-11-22 00:00:00+00:00,0.19503063
326,1950-11-23 00:00:00+00:00,0.19381528
327,1950-11-24 00:00:00+00:00,0.19259992
328,1950-11-25 00:00:00+00:00,0.19438457
329,1950-11-26 00:00:00+00:00,0.19516926
330,1950-11-27 00:00:00+00:00,0.1939539
331,1950-11-28 00:00:00+00:00,0.19273855
332,1950-11-29 00:00:00+00:00,0.1915232
333,1950-11-30 00:00:00+00:00,0.19130784
334,1950-12-01 00:00:00+00:00,0.19109252
335,1950-12-02 00:00:00+00:00,0.1898772
336,1950-12-03 00:00:00+00:00,0.18966185
